learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.0988,1.715562409824795E-10,1000.0,79.0,55.57379615565251,46.01542416452443,46.01542416452443,1000.0,6712.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
2000.0,0.129415,2.3136900530921088E-10,2000.0,77.0,48.32412903689657,50.0,40.56847545219639,2000.0,7552.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
3000.0,0.157625,2.90161267750793E-10,3000.0,79.2,49.89907554159581,53.88026607538803,37.160120845921455,3000.0,8056.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
4000.0,0.210016,4.829475200838513E-10,4000.0,87.2,67.20891507621364,67.17948717948718,47.755102040816325,4000.0,14224.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
5000.0,0.247157,5.868720097674264E-10,5000.0,80.10000000000001,55.28974045581999,55.67928730512251,44.2577030812325,5000.0,10816.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
6000.0,0.273194,6.935130452944173E-10,6000.0,83.5,65.9178227065793,68.63117870722432,60.620525059665866,6000.0,15832.0,17.0,9.0,9.0,3.0,0.0,0.0,1.0
7000.0,0.304272,7.241933068467511E-10,7000.0,78.0,52.70851246775581,54.91803278688525,42.70833333333334,7000.0,3816.0,19.0,10.0,10.0,1.0,0.0,0.0,1.0
8000.0,0.326019,7.565988620950117E-10,8000.0,80.7,59.175903206701086,60.93117408906884,56.13636363636364,8000.0,5760.0,19.0,10.0,10.0,1.0,0.0,0.0,1.0
9000.0,0.354073,7.996218548052841E-10,9000.0,66.10000000000001,30.61468430704743,38.0255941499086,29.8136645962733,9000.0,5928.0,19.0,10.0,10.0,1.0,0.0,0.0,1.0
10000.0,0.387605,8.885207172069286E-10,10000.0,63.0,28.93362015980333,24.643584521384927,8.641975308641982,10000.0,10248.0,23.0,12.0,12.0,3.0,0.0,0.0,1.0
11000.0,0.411755,9.516966736151114E-10,11000.0,65.8,31.329713753333127,34.10404624277457,30.769230769230777,11000.0,10112.0,23.0,12.0,12.0,3.0,0.0,0.0,1.0
12000.0,0.433802,1.0132040228280758E-9,12000.0,72.39999999999999,44.38421640182,45.129224652087466,42.25941422594141,12000.0,10784.0,23.0,12.0,12.0,3.0,0.0,0.0,1.0
13000.0,0.459042,1.0893653478059507E-9,13000.0,85.6,70.3600024699998,69.09871244635193,66.89655172413794,13000.0,11664.0,25.0,13.0,13.0,3.0,0.0,0.0,1.0
14000.0,0.479474,1.1598987028830585E-9,14000.0,87.2,72.91704575749753,72.88135593220339,66.57963446475196,14000.0,13344.0,25.0,13.0,13.0,3.0,0.0,0.0,1.0
15000.0,0.501845,1.2419870951109466E-9,15000.0,83.8,64.46121446121445,65.16129032258064,57.36842105263157,15000.0,14184.0,25.0,13.0,13.0,3.0,0.0,0.0,1.0
16000.0,0.527313,1.35230644295613E-9,16000.0,85.9,69.62777873513699,70.92783505154638,62.89473684210526,16000.0,16744.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
